user,tweet_id,text
SalVulcano,1575180521851985920,"Taste Buddies!

Which is *WORSE*:"
SalVulcano,1575180335306121216,"Taste Buddies!

Which is *WORSE*:"
SalVulcano,1575179940969910272,"Taste Buddies!

Which is *WORSE*:"
SalVulcano,1575153578133671938,"Taste Buddies!

Choose one sandwich:"
SalVulcano,1573815764850823175,Love a good roaring fireplace.
SalVulcano,1573814914686263296,Love a good twinkling city skyline.
SalVulcano,1573795905240719361,"PENNSYLVANIA. Let's make it rain. 

Tix: https://t.co/K8AnDRGy5L https://t.co/64PYJKWiQ2"
SalVulcano,1573736872802648064,Johnny May May knows what's up. Get your merch here babes: https://t.co/KluHsnKl3K https://t.co/bXkgUQuRgz
SalVulcano,1573401792100139009,Love a good shimmering body of water.
SalVulcano,1573127093952593920,Sick catch but hold on a second IS THIS MF WEARING A CLOWN SHOE https://t.co/oLLSoAVfrk
SalVulcano,1573011119899394049,Love a good sharp Number 2 pencil.
SalVulcano,1572249072123392000,Love a good board game.
SalVulcano,1572244348959395840,Taste Buddies! Pick ONE:
SalVulcano,1570786282355433473,Hey Wordle #454... 🖕
SalVulcano,1569391745112342529,"Got the opportunity to do a quick cameo in #clerks3 movie which comes out tomorrow!

Thanks @thatkevinsmith for sneaking me into the universe for a moment and your support over the years 🙌

Go see @clerksmovie!!! https://t.co/LxECE9vdkO"
SalVulcano,1569340688818647040,"Mondays are for the BUDS!

It's CARAMEL vs MARSHMALLOW with special guest @Joe_Gatto!!

THE CLIP IS ALL YOU NEED TO KNOW. 

Full ep: https://t.co/bb3rAKz3kR

Support the pod! Subscribe to the NO PRESH CHANNEL on YouTube! Rate us on ITunes! Follow on Spotify! 

Tag a friend! https://t.co/L5feiacb6V"
SalVulcano,1569065033229017088,#HereWeGo
SalVulcano,1568670404826517504,This Monday at 11am Taste Buddies!! https://t.co/YmApRdTlIr
SalVulcano,1568667895936487430,"The SASS is endless. 

All new @tastebudspod out NOW!

COKE vs PEPSI!

Full episode here: https://t.co/75Yd8uZG84

Tag a Buddy! https://t.co/gskTw6Vct8"
SalVulcano,1568404766736384001,"This week for 1st &amp; only time Fridays are for the Buds!

COKE v PEPSI

Holy cola it got heated.

Full ep: https://t.co/75Yd8uZG84

Support the pod! Subscribe to NO PRESH CHANNEL on YouTube! Rate us on ITunes! Follow on Spotify! 

Tag a friend!

@joederosacomedy
@homelesspimp https://t.co/4uM0qb9xRN"
SalVulcano,1567917429073870854,"Taste Boobiez! HERE WE GO!!!

Which is WORSE??"
SalVulcano,1567916875727736832,"Taste Buddies! LET'S GOOOOO

Which is better?"
SalVulcano,1566182892031676418,😮😮😮👇👇👇👇 https://t.co/d1gLUvuB8J
